Country.ID,Country.Name,Share.of.All.Commodities.Export,Share.of.Agriculture.Export,Share.of.Energy.Export,Share.of.Mining.Export,Mining.Export.Score,Super.Region.Country,PRGT.Eligible,Average.time.to.clear.exports.through.customs..days.,Container.port.traffic..TEU..20.foot.equivalent.units.,GDP.growth..annual...,GDP.per.capita..current.US..,Liner.shipping.connectivity.index..maximum.value.in.2004...100.,Rail.lines..total.route.km.
177,Trinidad and Tobago,48.3,5.1,42.1,1.1,1,0,0,NA,NA,1.650603346,19314.71634,NA,NA
178,Tunisia,19.1,11.8,5.4,1.8,2,1,0,6.7239604,483178,1.350652535,4350.371797,6.145712418,1777
179,Turkey,21.4,11.9,3.7,5.8,3,0,0,NA,NA,3.184024355,15473.28726,NA,NA
180,Turkmenistan,92.5,2.1,89.6,0.8,1,1,0,NA,NA,2.264117227,8571.607029,NA,NA
181,Tuvalu,NA,NA,NA,NA,NA,0,1,NA,NA,3.852809195,6344.775019,NA,NA
182,Uganda,86.6,45.1,5,36.5,5,1,1,NA,NA,6.136452018,1072.713698,NA,NA
183,Ukraine,57.6,44.6,1.3,11.7,4,0,0,NA,NA,2.913822215,5389.473145,NA,NA
184,United Arab Emirates,64,5.3,35.3,23.4,5,1,0,NA,18721000,3.761615446,49377.56434,76.49649888,261
185,United Kingdom,28.6,7.4,8.1,13,5,0,0,NA,NA,1.100667866,52636.78659,NA,NA
186,United States,31.9,12.2,13.5,6.3,3,0,0,NA,NA,2.796190356,85809.90038,NA,NA
187,Uruguay,81.9,79.3,1.9,0.7,1,0,0,NA,NA,3.108254781,23906.5133,NA,NA
188,Uzbekistan,74,14.5,19,40.4,6,1,1,NA,NA,6.5,3161.700106,NA,4732
189,Vanuatu,87.1,86.4,0.5,0.3,1,0,1,NA,NA,3.967258306,3542.810716,NA,NA
190,Vatican City (Holy See),NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
191,Venezuela,73.5,3.8,68.1,1.7,2,0,0,NA,NA,NA,NA,NA,NA
192,Vietnam,14,11.4,1.3,1.3,1,0,0,NA,NA,7.091187466,4717.290287,NA,NA
193,Yemen,93.9,21.9,59.2,12.8,5,1,1,NA,423393,NA,433.1740151,7.753847218,NA
194,Zambia,88.7,9,1,78.7,6,1,1,NA,NA,4.043148299,1235.084665,NA,NA
195,Zimbabwe,88.2,31.4,0.9,55.9,6,1,1,NA,NA,2.029484143,2656.409377,NA,3120
